model,block,variable,source_used,status,exact_bloomberg,closest_ticker,closest_transform,closest_verdict,n,first,last,exact_share,max_abs_gap,exact_since,model_obs_without_bloomberg,without_bloomberg_span,tests,note
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 25: External economic relations: Balance of trade (FOB/FOB),cnb_arad:SVEVZM4,not exact,,CZCMTRBA Index,level divided by 1,similar,270.0,2004-01,2026-06,0.0,56466.85,,,,X129 CZCMTRBA Index: similar; N_a6_25_CZTBNAL CZTBNAL Index: different; N_a6_25_CZTBAL CZTBAL Index: different,
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 26: Import prices,cnb_arad:SIMCSUM2005PM01+SIMCSUM2015PM01,not exact,,CZEIIMOM Index,published m/m,extremely similar,233.0,2007-02,2026-07,0.9914,0.1000000000000056,,,,X28 CZEIIMOM Index: extremely similar,
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 27: Inflation expectations: Domestic inflation expectations in Eurozone - balance of answers,eurostat:ei_bsco_m:BS-PT-NY:SA:EA20,not exact,,EUA8EMU Index,level,similar,492.0,1985-01,2025-12,0.1748,1.0999999999999996,,,,X66 EUA8EMU Index: similar,the panel reads the Eurostat EA20 aggregate; EUA8EMU is the ECFIN euro-area series
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 28: Inflation expectations: Perceived inflation in Eurozone - balance of answers,eurostat:ei_bsco_m:BS-PT-LY:SA:EA20,not exact,,EUA7EMU Index,level,similar,492.0,1985-01,2025-12,0.5447,0.3000000000000007,,,,X67 EUA7EMU Index: similar,the panel reads the Eurostat EA20 aggregate; EUA7EMU is the ECFIN euro-area series
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 29: EC business and consumer surveys - Industrial confidence indicator,eurostat:ei_bsin_m_r2:BS-ICI:SA:CZ,exact,EUICCZ Index (level),EUICCZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X68 EUICCZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 30: EC business and consumer surveys - Expectation of the demand over the next 3 months,eurostat:ei_bsse_m_r2:BS-SAEM:SA:CZ,exact,EUS3CZ Index (level),EUS3CZ Index,level,exact,292.0,2002-05,2026-08,1.0,0.0,,,,X69 EUS3CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 31: EC business and consumer surveys - Expectation of the employment over the next 3 months,eurostat:ei_bsse_m_r2:BS-SEEM:SA:CZ,exact,EUS5CZ Index (level),EUS5CZ Index,level,exact,292.0,2002-05,2026-08,1.0,0.0,,,,X70 EUS5CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 32: EC business and consumer surveys - Services confidence indicator,eurostat:ei_bsse_m_r2:BS-SCI:SA:CZ,exact,EUSCCZ Index (level),EUSCCZ Index,level,exact,292.0,2002-05,2026-08,1.0,0.0,,,,X71 EUSCCZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 33: EC business and consumer surveys - Expectations of the number of orders placed with suppliers over the next 3 months,eurostat:ei_bsrt_m_r2:BS-ROP:SA:CZ,exact,EUR3CZ Index (level),EUR3CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X72 EUR3CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 34: EC business and consumer surveys - Business activity expectations over the next 3 months,eurostat:ei_bsrt_m_r2:BS-REBS:SA:CZ,exact,EUR4CZ Index (level),EUR4CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X73 EUR4CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 35: EC business and consumer surveys - Employment expectations over the next 3 months,eurostat:ei_bsrt_m_r2:BS-REM:SA:CZ,exact,EUR5CZ Index (level),EUR5CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X74 EUR5CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 36: EC business and consumer surveys - Retail confidence indicator,eurostat:ei_bsrt_m_r2:BS-RCI:SA:CZ,exact,EURTCZ Index (level),EURTCZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X75 EURTCZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 37: EC business and consumer surveys - Employment expectations over the next 3 months - construction,eurostat:ei_bsbu_m_r2:BS-CEME-BAL:SA:CZ,exact,EUB3CZ Index (level),EUB3CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X76 EUB3CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 38: EC business and consumer surveys - Construction confidence indicator,eurostat:ei_bsbu_m_r2:BS-CCI-BAL:SA:CZ,exact,EUCOCZ Index (level),EUCOCZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X77 EUCOCZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 39: EC business and consumer surveys - Financial situation over the last 13 months,eurostat:ei_bsco_m:BS-FS-LY:SA:CZ,exact,EUA1CZ Index (level),EUA1CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X78 EUA1CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 40: EC business and consumer surveys - Savings over the next 13 months,eurostat:ei_bsco_m:BS-SV-NY:SA:CZ,exact,EUA0CZ Index (level),EUA0CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X79 EUA0CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 41: EC business and consumer surveys - Unemployment expectations over the next 13 months,eurostat:ei_bsco_m:BS-UE-NY:SA:CZ,exact,EUAUCZ Index (level),EUAUCZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X80 EUAUCZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G3: Confidence/Sentiment CZ,row 42: EC business and consumer surveys - Major purchases over the next 13 months,eurostat:ei_bsco_m:BS-MP-NY:SA:CZ,exact,EUA6CZ Index (level),EUA6CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X81 EUA6CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G4: PPI,row 43: YoY change in Producer prices of agricultural products,cnb_arad:MOPAAPPXXNAJYOYPECM,not exact,,CZPPAYOY Index,published y/y,different,255.0,1996-01,2017-03,0.3882,100.0,,111,2017-04..2026-06,N_a6_43 CZPPAYOY Index: different,"CZPPAYOY ends 2017-03; equal in most months of 1997-2004, rarely after"
CNB WP9 TVW-QRF (exact panel),G4: PPI,row 44: YoY change in Producer prices of industrial products,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:PCH_SM:CZ,exact,EUPPCZY Index (published y/y),EUPPCZY Index,published y/y,exact,427.0,1991-01,2026-07,1.0,0.0,,,,X30 EUPPCZY Index: exact,
CNB WP9 TVW-QRF (exact panel),G4: PPI,row 45: Producer prices of industrial products - Total,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,exact,PPTXCZ Index (index level); PPTXCZ Index (m/m from level),PPTXCZ Index,index level,exact,439.0,1990-01,2026-07,1.0,0.0,,,,X33 PPTXCZ Index: exact; X34 PPTXCZ Index: exact; X31 EUPPCZM Index: extremely similar; X32 CZPPMOM Index: similar,
CNB WP9 TVW-QRF (exact panel),G4: PPI,row 46: Producer prices of industrial products - Mineral resources,eurostat:sts_inppd_m:PRC_PRR_DOM:B:I21:CZ,exact,EPP00BCZ Index (index level); EPP00BCZ Index (m/m from level),EPP00BCZ Index,index level,exact,439.0,1990-01,2026-07,1.0,0.0,,,,X36 EPP00BCZ Index: exact; X37 EPP00BCZ Index: exact; X35 CZPPBM Index: similar,
CNB WP9 TVW-QRF (exact panel),G4: PPI,row 47: Producer prices of industrial products - Manufactured goods,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,not exact,,CZPPCM Index,CZSO published m/m,similar,317.0,2000-02,2026-07,0.0789,0.2,,,,N_a6_47_level EPT00CCZ Index: different; N_a6_47_mm EPT00CCZ Index: different; X38 CZPPCM Index: similar,
CNB WP9 TVW-QRF (exact panel),G4: PPI,"row 48: Producer prices of industrial products - Electricity, gas, and steam",eurostat:sts_inppd_m:PRC_PRR_DOM:D:I21:CZ,exact,EPP00DCZ Index (index level); EPP00DCZ Index (m/m from level),EPP00DCZ Index,index level,exact,439.0,1990-01,2026-07,1.0,0.0,,,,X40 EPP00DCZ Index: exact; X41 EPP00DCZ Index: exact; X39 CZPPDM Index: similar,
CNB WP9 TVW-QRF (exact panel),G4: PPI,row 49: Producer prices of industrial products - Water,eurostat:sts_inppd_m:PRC_PRR_DOM:E36:I21:CZ,exact,EPP036CZ Index (index level); EPP036CZ Index (m/m from level),EPP036CZ Index,index level,exact,439.0,1990-01,2026-07,1.0,0.0,,,,X43 EPP036CZ Index: exact; X44 EPP036CZ Index: exact; X42 CZPPEM Index: similar,
CNB WP9 TVW-QRF (exact panel),G4: PPI,row 50: Producer prices of agricultural products - Animal based products,czso:CEN02032:130000:IM,no Bloomberg series held,,,,,,,,,,,,,,CZSO livestock products; Bloomberg series held cover the total only
CNB WP9 TVW-QRF (exact panel),G4: PPI,row 51: Producer prices of agricultural products - Plant based products,czso:CEN02032:100000:IM,no Bloomberg series held,,,,,,,,,,,,,,CZSO crop products; Bloomberg series held cover the total only
CNB WP9 TVW-QRF (exact panel),G4: PPI,row 52: Producer prices of agricultural products - Agricultural production and fish,czso:CEN02032:0:IM; before 2010-01 rebuilt from cnb_arad:MOPAAPPXXNAJYOYPECM,not exact,,CZPPAMOM Index,published m/m,different,179.0,2002-05,2017-03,0.1508,5.1,,112,2017-04..2026-07,N_a6_52 CZPPAMOM Index: different,CZPPAMOM ends 2017-03; equal in 2013-14 only
CNB WP9 TVW-QRF (exact panel),G5: Financial,"row 53: Yield of 10-year gov. debt, monthly average",cnb_arad:SVSDM12,not exact,,GTCZK10Y Govt,monthly mean of daily,similar,233.0,2007-03,2026-07,0.0,0.308412795103826,,,,X97 GTCZK10Y Govt: similar,
CNB WP9 TVW-QRF (exact panel),G5: Financial,"row 54: PRIBOR: Domestic interbank deposit market rate - 3 months, value at the end of the month",cnb_arad:SFTP04M2106,not exact,,PRIB03M Index,last value of the month,similar,401.0,1993-04,2026-08,0.9626,0.2199999999999997,,,,X95 PRIB03M Index: similar,
CNB WP9 TVW-QRF (exact panel),G5: Financial,"row 55: 2 Week repo rate, value at the end of the month",cnb_arad:SFTP01M11,not exact,,CZBRREPO Index,last value of the month,similar,368.0,1995-12,2026-07,0.9891,0.25,,,,X96 CZBRREPO Index: similar,
CNB WP9 TVW-QRF (exact panel),G5: Financial,row 56: Real effective exchange rate: Deflated by PPI,cnb_arad:SREERM101,not exact,,BISBCZR Index,log m/m,different,330.0,1999-02,2026-07,0.0,4.165387102969298,,0,,N_a6_56_BISBCZR BISBCZR Index: different; N_a6_56_BRERCZ BRERCZ Index: different; N_a6_56_REERCZK .REER_CZK G Index: different; N_a6_56_BREERCZK BREERCZK Index: different; X132 935.028 Index: different,"Bloomberg REERs held are BIS, Bloomberg and OECD indices, not CNB's"
CNB WP9 TVW-QRF (exact panel),G5: Financial,row 57: Real effective exchange rate: Deflated by CPI,cnb_arad:SREERM103,not exact,,BISBCZR Index,log m/m,different,330.0,1999-02,2026-07,0.0,1.5509788611360875,,0,,N_a6_57_BISBCZR BISBCZR Index: different; N_a6_57_BRERCZ BRERCZ Index: different; N_a6_57_REERCZK .REER_CZK G Index: different; N_a6_57_BREERCZK BREERCZK Index: different; X130 OECZFRAA Index: different; X131 935.028 Index: different,as row 56
CNB WP9 TVW-QRF (exact panel),G5: Financial,"row 58: Client loans: Residents - Non-financial corporations, balance",cnb_arad:SUCM100311XXX101101,not exact,,LONSCZNF Index,y/y from level,different,283.0,2003-01,2026-07,0.0,24.351692044278963,,,,X127 LONSCZNF Index: different,
CNB WP9 TVW-QRF (exact panel),G5: Financial,"row 59: Client loans: Residents - Households, balance",cnb_arad:SUCM102211XXX101101,not exact,,CZBLHHTV Index,y/y from level,similar,281.0,2003-01,2026-05,0.0,2.3147951461430782,,,,X128 CZBLHHTV Index: similar; N_a6_59_CZBLHPTV CZBLHPTV Index: similar,
CNB WP9 TVW-QRF (exact panel),G6: Commodities/Energy,"row 60: Commodity prices: Brent Crude Oil, USD/barrel",cnb_arad:MEDACOMOILXXUSBVALM,not exact,,CO1 Comdty,"monthly mean, USD/bbl",extremely similar,402.0,1993-01,2026-06,0.0398,0.0050000000000096,,,,X120 CO1 Comdty: extremely similar,
CNB WP9 TVW-QRF (exact panel),G6: Commodities/Energy,row 61: Commodity prices: Average natural gas price in Europe,cnb_arad:MEDACOMGASXXL18INDM,not exact,,TTFGDAHD BCFV Index,log m/m of monthly mean,different,184.0,2011-03,2026-06,0.0,56.623632591968935,,,,X121 TTFGDAHD BCFV Index: different; X122 TTFGDAHD BCFV Index: different,
CNB WP9 TVW-QRF (exact panel),G6: Commodities/Energy,row 62: Commodity prices: Industrial metals price index,cnb_arad:MEDACOMMETXXL18INDM,not exact,,BCOMINSP Index,log m/m of monthly mean,similar,317.0,2000-02,2026-06,0.0,6.699856156464978,,,,X123 BCOMINSP Index: similar; X124 BCOMINSP Index: different,
CNB WP9 TVW-QRF (exact panel),G6: Commodities/Energy,row 63: Commodity prices: Food commodity price index,cnb_arad:MEDACOMFODXXL18INDM,not exact,,BCOMAGSP Index,log m/m of monthly mean,different,317.0,2000-02,2026-06,0.0,8.191274675695448,,,,X125 BCOMAGSP Index: different; X126 BCOMAGSP Index: different,
CNB WP9 TVW-QRF (exact panel),G6: Commodities/Energy,row 64: Principal Components of Fuel prices - CZSO,czso:CEN0101J:0722101; czso:CEN0101J:0722201; czso:CEN0101J:0722202; czso:CEN0101J:0722301,no Bloomberg series held,,,,,,,,,,,,,,"first principal component of four CZSO weekly fuel prices (Natural 95, Super Plus 98, diesel, LPG); Bloomberg series held are EC Oil Bulletin petrol and diesel"
CNB WP9 TVW-QRF (exact panel),G6: Commodities/Energy,row 65: Refinitiv - TRPC Natural Gas,bbg__gas_year1_user_selected__month_mean,exact,TTFGCY1 Index (monthly mean of daily),TTFGCY1 Index,monthly mean of daily,exact,161.0,2013-04,2026-08,1.0,5.684341886080802e-14,2013-04,0,,N_a6_65 TTFGCY1 Index: exact,the model already reads this Bloomberg series
CNB WP9 TVW-QRF (exact panel),G6: Commodities/Energy,row 66: Refinitiv - ICE Europe Brent Crude Electronic Energy Future,bbg__brent_year1_user_selected__month_mean,exact,FSBTY1 Index (monthly mean of daily),FSBTY1 Index,monthly mean of daily,exact,158.0,2013-07,2026-08,1.0,4.263256414560601e-14,2013-07,0,,N_a6_66 FSBTY1 Index: exact,the model already reads this Bloomberg series
CNB WP9 TVW-QRF (exact panel),G7: Inflation Expectations,row 67: Selling price expectations over the next 3 months,eurostat:ei_bsin_m_r2:BS-ISPE:SA:CZ,exact,EUI5CZ Index (level),EUI5CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X82 EUI5CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G7: Inflation Expectations,row 68: Price expectations over the next 3 months - construction,eurostat:ei_bsbu_m_r2:BS-CPE-BAL:SA:CZ,exact,EUB4CZ Index (level),EUB4CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X83 EUB4CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G7: Inflation Expectations,row 69: Inflation expectations: Inflation expectations in the horizon 3 years by financial markets - in percentage points,cnb_fmie:mean:36m,no Bloomberg series held,,,,,,,,,,,,,,CNB financial-market inflation expectations
CNB WP9 TVW-QRF (exact panel),G7: Inflation Expectations,row 70: Inflation expectations: Inflation expectations in the horizon 1 year by financial markets in percentage points,cnb_fmie:mean:12m,no Bloomberg series held,,,,,,,,,,,,,,CNB financial-market inflation expectations
CNB WP9 TVW-QRF (exact panel),G7: Inflation Expectations,row 71: Inflation expectations: Perceived inflation - balance of answers,eurostat:ei_bsco_m:BS-PT-LY:SA:CZ,exact,EUA7CZ Index (level),EUA7CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X47 EUA7CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G7: Inflation Expectations,row 72: Inflation expectations: Expected domestic inflation - balance of answers,eurostat:ei_bsco_m:BS-PT-NY:SA:CZ,exact,EUA8CZ Index (level),EUA8CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X46 EUA8CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),target,CPI m/m,paper_model_panel_20260912_exact/target_cpi_mm.csv,not exact,,CZCIPM Index,published m/m,similar,235.0,2007-01,2026-07,0.0851,0.1314994606256617,,191,1991-02..2006-12,N_a6_target CZCIPM Index: similar,
Scoring and benchmarks,actuals,first print CPI m/m,data/czcpmom_survey_history_extended.csv actual,exact,"CZCIPM Index; CZCPMOM Index (published m/m: CZCIPM, and CZCPMOM where CZCIPM has no value)",CZCIPM Index; CZCPMOM Index,"published m/m: CZCIPM, and CZCPMOM where CZCIPM has no value",exact,200.0,2010-01,2026-08,1.0,0.0,2010-01,0,,N_score_actual_combined CZCIPM Index; CZCPMOM Index: exact,"each ticker is also equal on its own span (N_score_actual_CZCIPM, N_score_actual_CZCPMOM)"
Scoring and benchmarks,benchmark,consensus median and mean,same file: Bloomberg CZCPMOM survey fields,Bloomberg already,,,,,,,,,,,,,,
"Earlier research lanes (R10 category model, R14 fuel)",R10 category model,actual rent m/m,m/m of CZSO group level (data/core_split),not exact,,CP41CZ Index,"HICP, m/m from level",extremely similar,138.0,2015-02,2026-07,0.0072,0.0946904404024673,,,,X22 CP41CZ Index: extremely similar,
"Earlier research lanes (R10 category model, R14 fuel)",R10 category model,catering m/m,m/m of CZSO group level (data/core_split),not exact,,CP1SCZ Index,"HICP, m/m from level",extremely similar,138.0,2015-02,2026-07,0.0072,0.2182700636592427,,,,X23 CP1SCZ Index: extremely similar,
"Earlier research lanes (R10 category model, R14 fuel)",R10 category model,package holidays m/m,m/m of CZSO group level (data/core_split),not exact,,CP96CZ Index,"HICP, m/m from level",extremely similar,138.0,2015-02,2026-07,0.0,0.1207898292813314,,,,X24 CP96CZ Index: extremely similar,
"Earlier research lanes (R10 category model, R14 fuel)",R10 category model,accommodation m/m,m/m of CZSO group level (data/core_split),not exact,,CP1ACZ Index,"HICP, m/m from level",different,138.0,2015-02,2026-07,0.0145,2.3810867647862666,,,,X25 CP1ACZ Index: different,
"Earlier research lanes (R10 category model, R14 fuel)",R14 fuel pump panel,gross Euro-super 95,EC Oil Bulletin files,exact,"ECOBETCZ Index (ISO week, CZK/l)",ECOBETCZ Index,"ISO week, CZK/l",exact,1081.0,2005-01-03,2026-08-31,1.0,5.759999964993767e-06,,,,X133 ECOBETCZ Index: exact,
"Earlier research lanes (R10 category model, R14 fuel)",R14 fuel pump panel,gross diesel,EC Oil Bulletin files,exact,"ECOBOTCZ Index (ISO week, CZK/l)",ECOBOTCZ Index,"ISO week, CZK/l",exact,1081.0,2005-01-03,2026-08-31,1.0,5.000000015797923e-06,,,,X135 ECOBOTCZ Index: exact,
"Earlier research lanes (R10 category model, R14 fuel)",R14 fuel pump panel,net Euro-super 95,EC Oil Bulletin files,not exact,,ECOBEFCZ Index,"ISO week, CZK/l",extremely similar,1081.0,2005-01-03,2026-08-31,0.9991,0.0309945857846862,,,,X137 ECOBEFCZ Index: extremely similar,
"Earlier research lanes (R10 category model, R14 fuel)",R14 fuel pump panel,net diesel,EC Oil Bulletin files,not exact,,ECOBOFCZ Index,"ISO week, CZK/l",similar,1081.0,2005-01-03,2026-08-31,0.9981,1.939006559999996,,,,X138 ECOBOFCZ Index: similar,
"Earlier research lanes (R10 category model, R14 fuel)",R14 fuel,CNB daily EUR/CZK fixing 2004 on,R14 fx_daily plus 2018 capture,not exact,,EURCZK CNB Curncy,"daily level, CZK",similar,5682.0,2004-01-02,2026-09-11,0.9991,0.1099999999999994,,,,X98 EURCZK CNB Curncy: similar,
"Earlier research lanes (R10 category model, R14 fuel)",R14 fuel,CNB daily USD/CZK fixing,R14 fx_daily,not exact,,USDCZK CNB Curncy,"daily level, CZK",similar,5692.0,2004-01-02,2026-09-09,0.9998,0.3629999999999995,,,,X113 USDCZK CNB Curncy: similar,
"Earlier research lanes (R10 category model, R14 fuel)",R14 fuel,Brent daily and monthly change,EIA Europe Brent spot FOB,not exact,,CO1 Comdty,"daily level, USD/bbl",similar,9256.0,1990-01-02,2026-09-01,0.0058,28.94000000000001,,,,X118 CO1 Comdty: similar; X119 CO1 Comdty: different,
