archive,when,note
consumer_total_sa_nace2.zip,April 2024,"Publication of consumer (CONS) survey results for Romania (RO) is resumed. Consistent time series for all monthly and quarterly balances have been restored using new data collected since May 2023 and econometric techniques. See methodological note on the BCS website for details. Re-inclusion of RO CONS data has an impact also on the RO and EU ESIs and EU CONS results. Concerning the latter, the inclusion of consistently restored series for RO fixes a mal-functioning level correction in place since April/May 2020. Impact on the EU confidence indicator is an upward correction by around 1.5 points since May 2020. RO time series for disaggregate results (CONS categories and data shares) have not been restored consistently. All original data (pre-restoration process) are available on request to ECFIN-BCS-MAIL@ec.europa.eu."
consumer_total_sa_nace2.zip,March 2024,"Correction of inverted results for Croatian income quartiles (RE1, RE2, RE3 and RE4)."
consumer_total_sa_nace2.zip,January 2024,The country weights used to calculate the EU and the euro-area aggregates were updated
consumer_total_sa_nace2.zip,February 2023,Temporary discontinuation of the surveys in Ireland
consumer_total_sa_nace2.zip,January 2023,"For the first time, Croatia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
consumer_total_sa_nace2.zip,April 2022,"Due to a change of the seasonal adjustment method, all seasonally-adjusted survey results have been revised."
consumer_total_sa_nace2.zip,January 2022,The country weights used to calculate the EU and the euro-area aggregates were updated
consumer_total_sa_nace2.zip,March 2021,"The data collection method of the Slovenian consumer survey was changed in January 2016. A backcast of the time-series most affected by the change (Q6, Q9, Q11) has been made for the period until (incl.) December 2015."
consumer_total_sa_nace2.zip,January 2021,"Revision of the weighting scheme of the Italian Consumer Survey. All historical Italian consumer series have been recalculated accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
consumer_total_sa_nace2.zip,November 2020,"There was a structural change in the way consumer data is collected in Sweden. The change does not only have an impact on Swedish data, but also on the EU time-series. Historical data for the aggregate series ('Total Consumer' balances) have been revised to correct for the level shift. All disaggregate data (consumer categories/breakdowns and datashares) have not been revised and might thus present a structural break in November 2020. Data collected during a 3-month overlapping period is available on request to ECFIN-BCS-MAIL@ec.europa.eu."
consumer_total_sa_nace2.zip,April 2020,"Due to confinement measures linked to coronavirus, some partner institutes had to change their mode of conducting their consumer survey. Face-to-face and Computer-Aided Personal Interviews (F2F/CAPI) switched to: 
- Computer-Aided Telephone Interviews (CATI) in Croatia, Latvia, Slovak Republic, and Turkey;
- Computer-Aided Web Interview (CAWI) in Hungary and Poland; and 
- a mix of CAWI and CATI in Bulgaria and Lithuania."
consumer_total_sa_nace2.zip,April 2020,Temporary discontinuation of the consumer survey in Romania.
consumer_total_sa_nace2.zip,March 2020,"In most countries, the large majority of survey responses were collected before strict containment measures were enacted to combat the spread of the Corona virus."
consumer_total_sa_nace2.zip,February 2020,"All EU aggregates are calculated on the basis of 27 Member States (i.e. excluding the UK, which withdrew from the EU on 31 January 2020).  The historical values of the EU series have been revised accordingly."
consumer_total_sa_nace2.zip,January 2020,"Correction for a change in several questions on order books and stocks in the industry, construction and retail trade surveys in Denmark in 2014, in order to harmonise them with the BCS programme guidelines. In industry (Q2, Q3, Q4), the change occurred in July 2014, in construction (Q3) and retail trade (Q2) in August 2014. The series before these dates were revised based on an ARIMA-estimation of the breaks created by the changes. The correction has an impact on the long-term average of the series, and therefore on the current level of the ESI in Denmark. It also has a minor impact on EU data."
consumer_total_sa_nace2.zip,May 2019,"There was a structural change in the way consumer data is collected in Germany and Finland. The change does not only have an impact on German and Finnish data, but also on the aggregate euro-area and EU time-series. Historical data for the aggregate series ('Total Consumer' balances) have been revised to correct for the level shift. All disaggregate data (consumer categories/breakdowns and datashares) have not been revised and might thus present a structural break in May 2019.Data collected during a 3-month overlapping period are available on request to ECFIN-BCS-MAIL@ec.europa.eu. 
Change of partner institute in Austria; this may cause a break in some series of the survey."
consumer_total_sa_nace2.zip,January 2019,"Ireland is included in the European aggregates.
The historical values, as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
consumer_total_sa_nace2.zip,January 2019,"The composition of the consumer confidence indicator is revised. More information on the new methodology can be found on  ""A revised Consumer Confidence Indicator""."
consumer_total_sa_nace2.zip,August 2017,"Revision of the design of the Dutch Consumer Survey. In order to limit the impact of the structural break, all the historical Dutch consumer series have been back casted accordingly."
consumer_total_sa_nace2.zip,May 2016,"- Due to a revision of the breakdown by occupation of the respondent as of May 2016, time series corresponding to consumer categories PR0 to PR9 are discontinued until further notice.
- From May 2016 onwards, Statistics Portugal will report and publish the results for the Services, Construction, Industry and Trade surveys based on new samples and sampling frames. 
The new samples are being surveyed since May 2015.  For the backcasting of the series, two samples (old and new) for each survey were collected simultaneously from May 2015 to April 2016. In general, for calculating the backcasted series (balances), the difference between the averages for the common period of the two samples was used. 
- With effect from May 2016, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Ireland and Montenegro. These changes may cause a break in the series."
consumer_total_sa_nace2.zip,November 2015,"- Revision of the Bulgarian data for the five Investment surveys conducted between March/April 2013 and March/April 2015.
- In November 2015, the British partner institute (CBI) updated the sampling weights for the Industry, Investment, Retail and Services surveys in line with changes in officially available data from various UK governmental sources. 
- As of November 2015, the Portuguese consumer data is based on a new sample. For the backcasting of the series, the two samples were collected simultaneously between November 2014 and October 2015."
consumer_total_sa_nace2.zip,June 2015,Revision of Romanian Investment survey data between 2011 and 2015
consumer_total_sa_nace2.zip,May 2015,"With effect from May 2015, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Turkey and Serbia. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
consumer_total_sa_nace2.zip,January 2015,Lithuania joined the euro area on 1 January 2015 and is included in the EA aggregates.
consumer_total_sa_nace2.zip,January 2014,Latvia joined the euro area on 1 January 2014 and is included in the EA aggregates.
consumer_total_sa_nace2.zip,July 2013,"For the first time, Croatia is included in the EU aggregate.
The historical values, as well as the country weights, have been revised accordingly."
consumer_total_sa_nace2.zip,June 2013,The Italian partner institute (ISTAT) introduced some methodological improvements concerning sampling and survey techniques that could affect data comparability with previous months.
consumer_total_sa_nace2.zip,May 2011,"With effect from May 2011, a number of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys have changed; Denmark: Services, Retail trade; Spain: Consumers, Services, Retail trade; Portugal: Building. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
consumer_total_sa_nace2.zip,June 2009,"Results for question 7 are not seasonally adjusted.
Consumer survey data in Portugal for September 1997 to May 2009 has been revised by the partner institute to take account of a change of panel which occurred in May 2008 (the data became available in May 2009)."
consumer_total_sa_nace2.zip,January 2009,"For the first time, Slovakia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
consumer_total_sa_nace2.zip,May 2008,"Change of partner institute in Greece, Spain and Cyprus; this may cause a break in some series of the survey.
Temporary discontinuation of the survey in Ireland.
The data for Q2-2008 in UK is based on fieldwork conducted in the second month of the quarter (one month later than usual)."
consumer_total_sa_nace2.zip,January 2008,"For the first time, Cyprus and Malta are included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
consumer_total_sa_nace2.zip,January 2007,"For the first time, Bulgaria and Romania are included in the EU aggregate, whilst the euro-area aggregate includes Slovenia.
The historical values (since 1985), as well as the country weights, have been revised accordingly."
consumer_total_sa_nace2.zip,September 2006,The countries weights used to calculate the EU and the euro area aggregates were updated.
consumer_total_sa_nace2.zip,January 2006,The series for Malta are now available.
consumer_total_sa_nace2.zip,December 2005,"The series for Italy / question 12 were revised for the period 1985-2005 (plus and minus answers were inverted).
The European aggregates EU and EA were recomputed."
consumer_total_sa_nace2.zip,September 2005,Country weights used to calculate the EU and euro area aggregates were updated and the related series were recomputed.
consumer_total_sa_nace2.zip,May 2005,All the series for Luxembourg are now seasonally adjusted.
consumer_total_sa_nace2.zip,January 2005,All the series are now available with one decimal (not displayed).
consumer_total_sa_nace2.zip,September 2004,"All the series are seasonally adjusted for: CY, LV, LT, PL, SK, BG, RO."
consumer_total_sa_nace2.zip,May 2004,The EU aggregate is now calculated including the new Member states.
consumer_total_sa_nace2.zip,September 1997,"Due to a change of institute in September 1997, consumer data for Portugal previous to this date is not directly comparable with the rest of the series."
consumer_total_sa_nace2.zip,Every January as of 2007,The weighting scheme used to calculate composite indicators and the long-term average are revised in January. This can lead to slight revisions in past data (see User Guide for more information) during that month.
industry_total_nsa_nace2.zip,,"The series at the country level are not available.

The following updates have been implemented:"
industry_total_nsa_nace2.zip,July 2026,Services survey data have been revised for June 2026 for Romania and for January to June 2026 for France (see explanatory note in  Informations rapides - 178 | Insee). These revisions have an impact also on the European aggregates.
industry_total_nsa_nace2.zip,May 2026,Business surveys in Malta are temporarily suspended due to changes in partner institutes.
industry_total_nsa_nace2.zip,May 2026,Surveys in Estonia are temporarily suspended due to changes in partner institutes.
industry_total_nsa_nace2.zip,March 2026,The country weights for the aggregation of the results by Main Industrial Groupings (MIGs) were updated.
industry_total_nsa_nace2.zip,February 2026,"For periods starting in July 2023, inclusion of Dutch balance results for subsectors that could previously not be displayed due to confidentiality rules applying to the underlying percentage shares of answer options. The inclusion of the new Dutch balances leads to small revisions of the EA and EU aggregate results for concerned subsectors in the period July 2023-Jan 2026."
industry_total_nsa_nace2.zip,February 2026,"Portuguese balances for questions Q1, 2, 5, 6, 11, 14, 15 and 16 of the industry survey have been revised for the periods 01/1987 to 12/2002 (Q1, 2, 5 and 6), Q1/1987 to Q4/1989 (Q11), and Q4/1994 - Q4/2002 (Q14, 15 and 16). The balances are now in line with the underlying detailed data by answer category."
industry_total_nsa_nace2.zip,January 2026,"For the first time, Bulgaria is included in the euro-area aggregate. The historical values have been revised accordingly. Moreover, as in every January, the country weights used to calculate all EU and the euro-area aggregates were updated."
industry_total_nsa_nace2.zip,March 2025,Publication of business and consumer survey results for Ireland (IE) is resumed. Consistent time series for 39 monthly balances and 2 quarterly series on capacity utilisation have been restored based on new data collected since August 2024 and regression analysis. See methodological note on the BCS website for details. Re-inclusion of IE data has a small impact also on the EU and EA results.
industry_total_nsa_nace2.zip,July 2024,"Quarterly questions Q10, Q12 and Q14 were withdrawn from dissemination."
industry_total_nsa_nace2.zip,January 2024,"On 2 February 2024, correction of erroneous results for the Italian industry survey for the period from January 2021 to December 2023. This has an impact also on the EU/EU aggregates."
industry_total_nsa_nace2.zip,January 2024,The country weights used to calculate the EU and the euro-area aggregates were updated
industry_total_nsa_nace2.zip,January 2024,Update of business survey weights for Italy: value added referring to 2021 instead of 2012 is used for the aggregation of division data from January 2021 onwards. This has an impact also on the EU/EA aggregates.
industry_total_nsa_nace2.zip,March 2023,Correction of historical error in INDU question 13 (capacity utilisation) for Malta for the period 2003_q2
industry_total_nsa_nace2.zip,February 2023,Temporary discontinuation of the surveys in Ireland
industry_total_nsa_nace2.zip,January 2023,"For the first time, Croatia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
industry_total_nsa_nace2.zip,May 2022,"Following the introduction of a new sampling method and weighting procedure, time-series related to the Portuguese building, services, retail trade and industrial survey has been backcasted."
industry_total_nsa_nace2.zip,April 2022,"Due to a change of the seasonal adjustment method, all seasonally-adjusted survey results have been revised."
industry_total_nsa_nace2.zip,February 2022,Correction of the French industry survey results for “shortage of material and/or equipment” (Q8-F4) for October 2021.
industry_total_nsa_nace2.zip,January 2022,"Factors limiting production (Q8) have been revised for Czechia, Danemark, Italy, Hungary, Montenegro and Sweden."
industry_total_nsa_nace2.zip,January 2022,The country weights used to calculate the EU and the euro-area aggregates were updated
industry_total_nsa_nace2.zip,October 2021,Factors limiting production (Q8) have been revised for Portugal for the period January 2020-July 2021.
industry_total_nsa_nace2.zip,September 2021,"Equipment & Material (F4) as factor limiting production (question Q8) has been revised for Belgium, Finland and France. Other factors (F5) as factor limiting production (Q8) have been revised for Belgium and Finland."
industry_total_nsa_nace2.zip,August 2021,Correction of Danish industry survey results for Q8 for July 2021.
industry_total_nsa_nace2.zip,April 2021,Correction of Swedish survey for industry from May 2020 to March 2021.
industry_total_nsa_nace2.zip,March 2021,"For Latvian data, a misallocation of survey results to the answering categories of questions INDU Q8 was remedied. Concretely, for INDU Q8, the results reported under “factor 5” and “factor 6” were swapped."
industry_total_nsa_nace2.zip,January 2021,The country weights used to calculate the EU and the euro-area aggregates were updated.
industry_total_nsa_nace2.zip,August 2020,Hungarian business survey data for July were significantly revised compared to the original release.
industry_total_nsa_nace2.zip,May 2020,"French business survey data for April were significantly revised compared to the original release, owing to a methodological amendment of the treatment of non-response in April."
industry_total_nsa_nace2.zip,April 2020,"Response rates were lower than usual due to COVID-19 confinement measures. On average the number of responses was 20% lower than usually.
For France, the deterioration of business survey results is likely underestimated due to the non-response completion design used by the French partner institute (INSEE), relying on past answers for non-responding firms."
industry_total_nsa_nace2.zip,March 2020,"In most countries, the large majority of survey responses were collected before strict containment measures were enacted to combat the spread of the Corona virus."
industry_total_nsa_nace2.zip,February 2020,"All EU aggregates are calculated on the basis of 27 Member States (i.e. excluding the UK, which withdrew from the EU on 31 January 2020).  The historical values of the EU series have been revised accordingly."
industry_total_nsa_nace2.zip,July 2019,Correction of Hungarian data for the question 8 of the industry survey about factors limiting their activity.
industry_total_nsa_nace2.zip,January 2019,"Ireland is included in the European aggregates.
The historical values, as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
industry_total_nsa_nace2.zip,May 2018,"Past data for Germany for the period 1991 to 2010 were revised, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
industry_total_nsa_nace2.zip,April 2018,"Past data for Germany were revised back to January 2011, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
industry_total_nsa_nace2.zip,May 2017,Change of the weighting procedure to compute the Industry survey results. All the historical Turkish manufacturing industry series have been back casted accordingly.
industry_total_nsa_nace2.zip,October 2016,"- In October 2016, the French partner institute (INSEE) modified the industry capacity utilisation data (Q13) until October 2004 to correct a break in the series which had been introduced by the questionnaire harmonisation in 2004. Data of some other quarters was also corrected.
- Data for Q10 of the Swedish industry survey (at total level) was corrected, mostly between 1996 and 2006 (this data was found incorrect due to a technical bug in the BCS data processing system)."
industry_total_nsa_nace2.zip,July 2016,"Correction of Dutch data for the industry, retail trade and services surveys between January and June 2016, with revisions of quarterly data."
industry_total_nsa_nace2.zip,May 2016,"- Due to a revision of the breakdown by occupation of the respondent as of May 2016, time series corresponding to consumer categories PR0 to PR9 are discontinued until further notice.
- From May 2016 onwards, Statistics Portugal will report and publish the results for the Services, Construction, Industry and Trade surveys based on new samples and sampling frames. 
The new samples are being surveyed since May 2015.  For the backcasting of the series, two samples (old and new) for each survey were collected simultaneously from May 2015 to April 2016. In general, for calculating the backcasted series (balances), the difference between the averages for the common period of the two samples was used. 
- With effect from May 2016, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Ireland and Montenegro. These changes may cause a break in the series."
industry_total_nsa_nace2.zip,April 2016,"In April 2016, the French partner institute (INSEE) introduced a modification of the secondary weights used when computing the Industry survey balances. This is causing a revision of past values as of February 1990 for monthly series and as of January 1992 for quarterly series."
industry_total_nsa_nace2.zip,March 2016,"Correction of discrepancies between ISTAT and DG ECFIN data for the Industry, Services, Building and Retail trade surveys."
industry_total_nsa_nace2.zip,November 2015,"- Revision of the Bulgarian data for the five Investment surveys conducted between March/April 2013 and March/April 2015.
- In November 2015, the British partner institute (CBI) updated the sampling weights for the Industry, Investment, Retail and Services surveys in line with changes in officially available data from various UK governmental sources. 
- As of November 2015, the Portuguese consumer data is based on a new sample. For the backcasting of the series, the two samples were collected simultaneously between November 2014 and October 2015."
industry_total_nsa_nace2.zip,June 2015,Revision of Romanian Investment survey data between 2011 and 2015
industry_total_nsa_nace2.zip,May 2015,"With effect from May 2015, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Turkey and Serbia. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
industry_total_nsa_nace2.zip,January 2015,Lithuania joined the euro area on 1 January 2015 and is included in the EA aggregates.
industry_total_nsa_nace2.zip,January 2014,Latvia joined the euro area on 1 January 2014 and is included in the EA aggregates.
industry_total_nsa_nace2.zip,July 2013,"For the first time, Croatia is included in the EU aggregate.
The historical values, as well as the country weights, have been revised accordingly."
industry_total_nsa_nace2.zip,June 2013,The Italian partner institute (ISTAT) introduced some methodological improvements concerning sampling and survey techniques that could affect data comparability with previous months.
industry_total_nsa_nace2.zip,May 2011,"With effect from May 2011, a number of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys have changed; Denmark: Services, Retail trade; Spain: Consumers, Services, Retail trade; Portugal: Building. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
industry_total_nsa_nace2.zip,January 2009,"For the first time, Slovakia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
industry_total_nsa_nace2.zip,May 2008,"Change of partner institute in Greece, Spain and Cyprus; this may cause a break in some series of the survey.
Temporary discontinuation of the survey in Ireland.
The data for Q2-2008 in UK is based on fieldwork conducted in the second month of the quarter (one month later than usual)."
industry_total_nsa_nace2.zip,January 2008,"For the first time, Cyprus and Malta are included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
industry_total_nsa_nace2.zip,January 2007,"For the first time, Bulgaria and Romania are included in the EU aggregate, whilst the euro-area aggregate includes Slovenia.
The historical values (since 1985), as well as the country weights, have been revised accordingly."
industry_total_nsa_nace2.zip,September 2006,The countries weights used to calculate the EU and the euro area aggregates were updated.
industry_total_nsa_nace2.zip,January 2006,The series for Malta are now available.
industry_total_nsa_nace2.zip,December 2005,"The series for Italy / question 12 were revised for the period 1985-2005 (plus and minus answers were inverted).
The European aggregates EU and EA were recomputed."
industry_total_nsa_nace2.zip,September 2005,Country weights used to calculate the EU and euro area aggregates were updated and the related series were recomputed.
industry_total_nsa_nace2.zip,May 2005,All the series for Luxembourg are now seasonally adjusted.
industry_total_nsa_nace2.zip,January 2005,All the series are now available with one decimal (not displayed).
industry_total_nsa_nace2.zip,September 2004,"All the series are seasonally adjusted for: CY, LV, LT, PL, SK, BG, RO."
industry_total_nsa_nace2.zip,May 2004,The EU aggregate is now calculated including the new Member states.
industry_total_nsa_nace2.zip,Every January as of 2007,The weighting scheme used to calculate composite indicators and the long-term average are revised in January. This can lead to slight revisions in past data (see User Guide for more information) during that month.
industry_total_sa_nace2.zip,,"The series at the country level are not available.

The following updates have been implemented:"
industry_total_sa_nace2.zip,July 2026,Services survey data have been revised for June 2026 for Romania and for January to June 2026 for France (see explanatory note in  Informations rapides - 178 | Insee). These revisions have an impact also on the European aggregates.
industry_total_sa_nace2.zip,May 2026,Business surveys in Malta are temporarily suspended due to changes in partner institutes.
industry_total_sa_nace2.zip,May 2026,Surveys in Estonia are temporarily suspended due to changes in partner institutes.
industry_total_sa_nace2.zip,March 2026,The country weights for the aggregation of the results by Main Industrial Groupings (MIGs) were updated.
industry_total_sa_nace2.zip,February 2026,"For periods starting in July 2023, inclusion of Dutch balance results for subsectors that could previously not be displayed due to confidentiality rules applying to the underlying percentage shares of answer options. The inclusion of the new Dutch balances leads to small revisions of the EA and EU aggregate results for concerned subsectors in the period July 2023-Jan 2026."
industry_total_sa_nace2.zip,February 2026,"Portuguese balances for questions Q1, 2, 5, 6, 11, 14, 15 and 16 of the industry survey have been revised for the periods 01/1987 to 12/2002 (Q1, 2, 5 and 6), Q1/1987 to Q4/1989 (Q11), and Q4/1994 - Q4/2002 (Q14, 15 and 16). The balances are now in line with the underlying detailed data by answer category."
industry_total_sa_nace2.zip,January 2026,"For the first time, Bulgaria is included in the euro-area aggregate. The historical values have been revised accordingly. Moreover, as in every January, the country weights used to calculate all EU and the euro-area aggregates were updated."
industry_total_sa_nace2.zip,March 2025,Publication of business and consumer survey results for Ireland (IE) is resumed. Consistent time series for 39 monthly balances and 2 quarterly series on capacity utilisation have been restored based on new data collected since August 2024 and regression analysis. See methodological note on the BCS website for details. Re-inclusion of IE data has a small impact also on the EU and EA results.
industry_total_sa_nace2.zip,July 2024,"Quarterly questions Q10, Q12 and Q14 were withdrawn from dissemination."
industry_total_sa_nace2.zip,January 2024,"On 2 February 2024, correction of erroneous results for the Italian industry survey for the period from January 2021 to December 2023. This has an impact also on the EU/EU aggregates."
industry_total_sa_nace2.zip,January 2024,The country weights used to calculate the EU and the euro-area aggregates were updated
industry_total_sa_nace2.zip,January 2024,Update of business survey weights for Italy: value added referring to 2021 instead of 2012 is used for the aggregation of division data from January 2021 onwards. This has an impact also on the EU/EA aggregates.
industry_total_sa_nace2.zip,March 2023,Correction of historical error in INDU question 13 (capacity utilisation) for Malta for the period 2003_q2
industry_total_sa_nace2.zip,February 2023,Temporary discontinuation of the surveys in Ireland
industry_total_sa_nace2.zip,January 2023,"For the first time, Croatia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
industry_total_sa_nace2.zip,May 2022,"Following the introduction of a new sampling method and weighting procedure, time-series related to the Portuguese building, services, retail trade and industrial survey has been backcasted."
industry_total_sa_nace2.zip,April 2022,"Due to a change of the seasonal adjustment method, all seasonally-adjusted survey results have been revised."
industry_total_sa_nace2.zip,February 2022,Correction of the French industry survey results for “shortage of material and/or equipment” (Q8-F4) for October 2021.
industry_total_sa_nace2.zip,January 2022,"Factors limiting production (Q8) have been revised for Czechia, Danemark, Italy, Hungary, Montenegro and Sweden."
industry_total_sa_nace2.zip,January 2022,The country weights used to calculate the EU and the euro-area aggregates were updated
industry_total_sa_nace2.zip,October 2021,Factors limiting production (Q8) have been revised for Portugal for the period January 2020-July 2021.
industry_total_sa_nace2.zip,September 2021,"Equipment & Material (F4) as factor limiting production (question Q8) has been revised for Belgium, Finland and France. Other factors (F5) as factor limiting production (Q8) have been revised for Belgium and Finland."
industry_total_sa_nace2.zip,August 2021,Correction of Danish industry survey results for Q8 for July 2021.
industry_total_sa_nace2.zip,April 2021,Correction of Swedish survey for industry from May 2020 to March 2021.
industry_total_sa_nace2.zip,March 2021,"For Latvian data, a misallocation of survey results to the answering categories of questions INDU Q8 was remedied. Concretely, for INDU Q8, the results reported under “factor 5” and “factor 6” were swapped."
industry_total_sa_nace2.zip,January 2021,The country weights used to calculate the EU and the euro-area aggregates were updated.
industry_total_sa_nace2.zip,August 2020,Hungarian business survey data for July were significantly revised compared to the original release.
industry_total_sa_nace2.zip,May 2020,"French business survey data for April were significantly revised compared to the original release, owing to a methodological amendment of the treatment of non-response in April."
industry_total_sa_nace2.zip,April 2020,"Response rates were lower than usual due to COVID-19 confinement measures. On average the number of responses was 20% lower than usually.
For France, the deterioration of business survey results is likely underestimated due to the non-response completion design used by the French partner institute (INSEE), relying on past answers for non-responding firms."
industry_total_sa_nace2.zip,March 2020,"In most countries, the large majority of survey responses were collected before strict containment measures were enacted to combat the spread of the Corona virus."
industry_total_sa_nace2.zip,February 2020,"All EU aggregates are calculated on the basis of 27 Member States (i.e. excluding the UK, which withdrew from the EU on 31 January 2020).  The historical values of the EU series have been revised accordingly."
industry_total_sa_nace2.zip,July 2019,Correction of Hungarian data for the question 8 of the industry survey about factors limiting their activity.
industry_total_sa_nace2.zip,January 2019,"Ireland is included in the European aggregates.
The historical values, as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
industry_total_sa_nace2.zip,May 2018,"Past data for Germany for the period 1991 to 2010 were revised, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
industry_total_sa_nace2.zip,April 2018,"Past data for Germany were revised back to January 2011, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
industry_total_sa_nace2.zip,May 2017,Change of the weighting procedure to compute the Industry survey results. All the historical Turkish manufacturing industry series have been back casted accordingly.
industry_total_sa_nace2.zip,October 2016,"- In October 2016, the French partner institute (INSEE) modified the industry capacity utilisation data (Q13) until October 2004 to correct a break in the series which had been introduced by the questionnaire harmonisation in 2004. Data of some other quarters was also corrected.
- Data for Q10 of the Swedish industry survey (at total level) was corrected, mostly between 1996 and 2006 (this data was found incorrect due to a technical bug in the BCS data processing system)."
industry_total_sa_nace2.zip,July 2016,"Correction of Dutch data for the industry, retail trade and services surveys between January and June 2016, with revisions of quarterly data."
industry_total_sa_nace2.zip,May 2016,"- Due to a revision of the breakdown by occupation of the respondent as of May 2016, time series corresponding to consumer categories PR0 to PR9 are discontinued until further notice.
- From May 2016 onwards, Statistics Portugal will report and publish the results for the Services, Construction, Industry and Trade surveys based on new samples and sampling frames. 
The new samples are being surveyed since May 2015.  For the backcasting of the series, two samples (old and new) for each survey were collected simultaneously from May 2015 to April 2016. In general, for calculating the backcasted series (balances), the difference between the averages for the common period of the two samples was used. 
- With effect from May 2016, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Ireland and Montenegro. These changes may cause a break in the series."
industry_total_sa_nace2.zip,April 2016,"In April 2016, the French partner institute (INSEE) introduced a modification of the secondary weights used when computing the Industry survey balances. This is causing a revision of past values as of February 1990 for monthly series and as of January 1992 for quarterly series."
industry_total_sa_nace2.zip,March 2016,"Correction of discrepancies between ISTAT and DG ECFIN data for the Industry, Services, Building and Retail trade surveys."
industry_total_sa_nace2.zip,November 2015,"- Revision of the Bulgarian data for the five Investment surveys conducted between March/April 2013 and March/April 2015.
- In November 2015, the British partner institute (CBI) updated the sampling weights for the Industry, Investment, Retail and Services surveys in line with changes in officially available data from various UK governmental sources. 
- As of November 2015, the Portuguese consumer data is based on a new sample. For the backcasting of the series, the two samples were collected simultaneously between November 2014 and October 2015."
industry_total_sa_nace2.zip,June 2015,Revision of Romanian Investment survey data between 2011 and 2015
industry_total_sa_nace2.zip,May 2015,"With effect from May 2015, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Turkey and Serbia. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
industry_total_sa_nace2.zip,January 2015,Lithuania joined the euro area on 1 January 2015 and is included in the EA aggregates.
industry_total_sa_nace2.zip,January 2014,Latvia joined the euro area on 1 January 2014 and is included in the EA aggregates.
industry_total_sa_nace2.zip,July 2013,"For the first time, Croatia is included in the EU aggregate.
The historical values, as well as the country weights, have been revised accordingly."
industry_total_sa_nace2.zip,June 2013,The Italian partner institute (ISTAT) introduced some methodological improvements concerning sampling and survey techniques that could affect data comparability with previous months.
industry_total_sa_nace2.zip,May 2011,"With effect from May 2011, a number of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys have changed; Denmark: Services, Retail trade; Spain: Consumers, Services, Retail trade; Portugal: Building. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
industry_total_sa_nace2.zip,January 2009,"For the first time, Slovakia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
industry_total_sa_nace2.zip,May 2008,"Change of partner institute in Greece, Spain and Cyprus; this may cause a break in some series of the survey.
Temporary discontinuation of the survey in Ireland.
The data for Q2-2008 in UK is based on fieldwork conducted in the second month of the quarter (one month later than usual)."
industry_total_sa_nace2.zip,January 2008,"For the first time, Cyprus and Malta are included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
